,EnvironmentSatisfaction,JobSatisfaction,Attrition,BusinessTravel,Education,EducationField,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement
0,3.0,4.0,No,Travel_Rarely,2,Life Sciences,1,Healthcare Representative,Married,131160,1.0,0,1.0,6,0,0,3
1,3.0,2.0,Yes,Travel_Frequently,1,Life Sciences,1,Research Scientist,Single,41890,0.0,1,6.0,3,1,4,2
2,2.0,2.0,No,Travel_Frequently,4,Other,4,Sales Executive,Married,193280,1.0,3,5.0,2,0,3,3
3,4.0,4.0,No,Non-Travel,5,Life Sciences,3,Human Resources,Married,83210,3.0,3,13.0,5,7,5,2
4,4.0,1.0,No,Travel_Rarely,1,Medical,1,Sales Executive,Single,23420,4.0,2,9.0,2,0,4,3
5,3.0,2.0,No,Travel_Rarely,3,Life Sciences,4,Research Director,Married,40710,3.0,0,28.0,5,7,7,3
6,1.0,3.0,Yes,Travel_Rarely,2,Medical,2,Sales Executive,Single,58130,2.0,1,5.0,2,0,0,3
7,1.0,2.0,No,Travel_Rarely,3,Life Sciences,2,Sales Executive,Married,31430,2.0,3,10.0,2,0,0,3
8,2.0,4.0,No,Travel_Rarely,3,Life Sciences,3,Laboratory Technician,Married,20440,0.0,0,10.0,2,7,8,3
9,2.0,1.0,No,Non-Travel,4,Medical,4,Laboratory Technician,Divorced,134640,1.0,1,6.0,2,1,5,3
10,3.0,4.0,No,Travel_Rarely,2,Medical,2,Laboratory Technician,Married,79910,0.0,2,21.0,2,4,10,2
11,3.0,4.0,No,Travel_Rarely,1,Life Sciences,1,Laboratory Technician,Married,33770,0.0,2,16.0,2,10,11,3
12,4.0,1.0,No,Travel_Rarely,4,Life Sciences,1,Sales Executive,Single,55380,0.0,0,37.0,2,4,13,3
13,1.0,2.0,Yes,Non-Travel,1,Medical,1,Research Scientist,Married,57620,1.0,2,10.0,4,9,9,2
14,4.0,4.0,No,Travel_Rarely,3,Life Sciences,1,Manufacturing Director,Married,25920,1.0,0,5.0,2,0,4,3
15,3.0,4.0,No,Travel_Rarely,3,Life Sciences,2,Healthcare Representative,Married,53460,4.0,0,7.0,2,0,1,3
16,4.0,3.0,No,Travel_Rarely,2,Life Sciences,1,Laboratory Technician,Single,42130,1.0,3,3.0,3,1,0,2
17,1.0,4.0,No,Non-Travel,3,Medical,2,Sales Executive,Divorced,41270,2.0,1,15.0,2,0,2,3
18,2.0,2.0,No,Travel_Rarely,4,Life Sciences,1,Sales Representative,Divorced,24380,7.0,0,10.0,5,6,2,2
19,1.0,1.0,No,Travel_Rarely,3,Life Sciences,1,Manager,Divorced,68700,1.0,1,8.0,5,7,7,3
20,3.0,2.0,No,Travel_Frequently,4,Other,2,Laboratory Technician,Divorced,104470,1.0,0,6.0,3,1,4,3
21,1.0,2.0,No,Travel_Rarely,4,Life Sciences,1,Research Scientist,Divorced,96670,3.0,0,28.0,2,1,6,2
22,3.0,3.0,No,Travel_Rarely,4,Life Sciences,2,Research Scientist,Married,21480,3.0,0,21.0,2,1,3,3
23,2.0,3.0,No,Travel_Rarely,4,Life Sciences,1,Manufacturing Director,Married,89260,1.0,0,10.0,4,11,6,1
24,2.0,4.0,No,Travel_Frequently,4,Medical,1,Laboratory Technician,Single,65130,1.0,1,10.0,2,0,9,3
25,2.0,4.0,No,Travel_Rarely,4,Other,1,Research Scientist,Married,67990,3.0,0,12.0,2,0,8,3
26,1.0,1.0,No,Travel_Frequently,3,Life Sciences,1,Manager,Married,162910,1.0,0,5.0,3,3,3,3
27,4.0,4.0,No,Travel_Rarely,1,Marketing,1,Research Scientist,Single,27050,1.0,0,17.0,2,5,7,3
28,4.0,3.0,Yes,Travel_Frequently,2,Medical,2,Research Scientist,Divorced,103330,3.0,1,19.0,2,0,0,2
29,4.0,4.0,No,Travel_Rarely,3,Marketing,1,Manager,Divorced,44480,9.0,0,10.0,3,1,2,2
30,1.0,2.0,Yes,Travel_Rarely,3,Medical,3,Research Scientist,Divorced,68540,2.0,0,5.0,5,0,2,2
31,4.0,4.0,No,Travel_Rarely,3,Other,1,Human Resources,Single,96370,1.0,0,5.0,6,0,2,2
32,3.0,1.0,No,Travel_Frequently,1,Medical,2,Research Scientist,Single,35910,9.0,0,22.0,2,1,2,3
33,3.0,2.0,No,Travel_Rarely,3,Technical Degree,3,Sales Executive,Single,54050,4.0,0,10.0,2,7,7,3
34,4.0,2.0,No,Travel_Frequently,4,Medical,1,Sales Executive,Divorced,46840,1.0,1,2.0,4,2,2,3
35,4.0,4.0,Yes,Travel_Rarely,3,Medical,2,Manager,Single,157870,1.0,2,8.0,5,7,4,3
36,2.0,4.0,No,Travel_Frequently,1,Marketing,1,Laboratory Technician,Married,15140,1.0,0,4.0,3,1,2,3
37,3.0,2.0,No,Travel_Frequently,2,Marketing,3,Research Director,Married,29560,5.0,0,23.0,2,4,8,3
38,3.0,3.0,Yes,Travel_Rarely,4,Life Sciences,1,Sales Executive,Single,23350,1.0,2,0.0,3,0,0,2
39,3.0,2.0,No,Travel_Rarely,2,Life Sciences,1,Laboratory Technician,Married,51540,0.0,0,12.0,2,6,9,2
40,3.0,4.0,No,Travel_Frequently,3,Other,3,Sales Executive,Married,69620,4.0,2,4.0,2,0,0,2
41,4.0,2.0,No,Travel_Rarely,3,Life Sciences,2,Laboratory Technician,Divorced,56750,5.0,0,13.0,2,1,2,2
42,4.0,2.0,No,Travel_Rarely,1,Life Sciences,1,Laboratory Technician,Single,23790,1.0,0,22.0,6,0,4,3
43,4.0,3.0,No,Travel_Rarely,3,Life Sciences,1,Research Scientist,Single,38120,1.0,0,0.0,3,0,0,3
44,2.0,1.0,No,Travel_Rarely,3,Medical,1,Sales Representative,Single,46480,0.0,2,9.0,2,0,7,2
45,2.0,4.0,No,Travel_Rarely,1,Technical Degree,1,Manufacturing Director,Married,29360,4.0,1,10.0,2,7,7,3
46,3.0,4.0,No,Travel_Rarely,4,Marketing,2,Human Resources,Divorced,21050,0.0,0,19.0,3,3,7,3
47,2.0,2.0,No,Non-Travel,4,Life Sciences,1,Sales Executive,Married,85780,7.0,0,11.0,4,0,8,3
48,4.0,3.0,No,Travel_Rarely,3,Marketing,2,Laboratory Technician,Married,27060,1.0,1,13.0,4,4,8,3
49,1.0,2.0,No,Travel_Rarely,2,Life Sciences,3,Research Scientist,Married,63840,3.0,2,19.0,4,0,1,2
50,4.0,3.0,No,Non-Travel,3,Life Sciences,2,Manufacturing Director,Divorced,39680,2.0,2,12.0,3,1,2,2
51,3.0,4.0,No,Travel_Rarely,1,Technical Degree,3,Research Scientist,Married,99070,0.0,1,6.0,3,0,3,2
52,1.0,1.0,No,Travel_Rarely,4,Marketing,2,Sales Executive,Married,132250,3.0,1,9.0,2,1,0,3
53,1.0,1.0,No,Travel_Frequently,1,Medical,1,Sales Executive,Divorced,35400,1.0,0,24.0,6,9,11,3
54,3.0,4.0,No,Travel_Rarely,4,Marketing,2,Research Scientist,Divorced,28040,0.0,2,3.0,0,2,2,3
55,4.0,2.0,No,Travel_Frequently,3,Life Sciences,4,Research Director,Married,193920,6.0,1,12.0,3,8,8,3
56,3.0,1.0,No,Travel_Rarely,4,Life Sciences,1,Sales Executive,Married,196650,1.0,1,21.0,6,11,10,3
57,3.0,4.0,No,Travel_Frequently,4,Medical,4,Research Scientist,Single,24390,0.0,0,9.0,2,1,7,3
58,3.0,3.0,No,Travel_Rarely,3,Life Sciences,3,Manufacturing Director,Single,73140,7.0,0,25.0,2,0,7,3
59,3.0,2.0,Yes,Travel_Rarely,1,Life Sciences,2,Research Scientist,Married,47740,2.0,1,11.0,2,7,7,3
60,3.0,2.0,No,Travel_Rarely,4,Medical,3,Research Scientist,Single,39020,1.0,0,4.0,2,1,2,3
61,3.0,2.0,No,Travel_Rarely,3,Life Sciences,3,Research Scientist,Married,26620,1.0,1,13.0,6,11,9,4
